Schedule 5433 Percent Recoveries From 2017-01-01 to 2018-01-01 PSPK,,,,,,,,,,,,,,,,,,,,,,,,
Note. Confidence limits calculated below are not official control limits.,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Analyte ID,Units,Mean,Variance,Standard Deviation,Relative Standard Deviation,Count,Minimum,Maximum,Median,First Quartile,Third Quartile,Relative Interquartile Range,F-Pseudosigma,Half percentile,Two and a half-percentile,Ninety-seven and a half-percentile,Ninety-nine and a half-percentile,Total,Upper 99% Confidence Limit,Lower 99% Confidence Limit,Upper 95% Confidence Limit,Lower 95% Confidence Limit,Basis of Limits
"1,4-Dichlorobenzene",63163GM008,pct,55,75,8.7,16,38,30,67,57,50,60,18,7.7,,,,,2076,81,29,72,37,3s
"2,6-Dimethylnaphthalene",63167GM008,pct,76,84,9.2,12,38,54,89,77,69,83,18,10,,,,,2881,103,48,94,57,3s
2-Methylnaphthalene,63168GM008,pct,76,105,10.3,14,38,52,91,77,68,83,18,10,,,,,2875,106,45,96,55,3s
3-beta-Coprostanol,63170GM008,pct,88,173,13.1,15,38,53,116,86,82,95,15,9.7,,,,,3337,127,48,114,62,3s
3-Methyl-1(H)-indole  (Skatole),63171GM008,pct,83,131,11.5,14,38,51,103,85,77,90,15,9.5,,,,,3148,117,48,106,60,3s
3-tert-Butyl-4-hydroxy anisole (BHA),63172GM008,pct,14,81,9.0,63,38,3,49,12,9,17,70,6.3,,,,,547,41,-13,32,-4,3s
4-Cumylphenol,63173GM008,pct,96,107,10.3,11,38,82,116,97,87,105,17,12,,,,,3665,127,65,117,76,3s
4-n-Octylphenol,63174GM008,pct,83,148,12.2,15,38,63,115,83,74,89,18,11,,,,,3152,119,46,107,59,3s
4-Nonylphenol (sum of all isomers),63175GM008,pct,93,209,14.5,15,38,24,112,97,88,101,13,9.8,,,,,3552,137,50,122,65,3s
"4-Nonylphenol diethoxylate (NP2EO), all isomers",63200GM008,pct,107,549,23.4,22,38,20,154,107,100,121,19,15,,,,,4067,177,37,154,60,3s
