"compound","RPD","qualifier"
"Naphthalene",44.4,"N"
"C1-Naphthalenes",48,"N"
"C2-Naphthalenes",34.2,"N"
"C3-Naphthalenes",51.2,"N"
"C4-Naphthalenes",38.6,"N"
"Biphenyl",NA,NA
"Acenaphthylene",39.4,"n"
"Acenaphthene",49.3,"N"
"Fluorene",55.8,"N"
"C1-Fluorenes",48.5,"N"
"C2-Fluorenes",46.6,"N"
"C3-Fluorenes",197,"n"
"Anthracene",58.1,"N"
"Phenanthrene",49.7,"N"
"C1-Phenanthrenes/Anthracenes",54,"N"
"C2-Phenanthrenes/Anthracenes",45.7,"N"
"C3-Phenanthrenes/Anthracenes",43.9,"N"
"C4-Phenanthrenes/Anthracenes",19.5,NA
"Fluoranthene",49.4,"N"
"Pyrene",49,"N"
"C1-Fluoranthenes/Pyrenes",50.5,"N"
"C2-Fluoranthenes/Pyrenes",48,"N"
"C3-Fluoranthenes/Pyrenes",44.9,"N"
"Benzo(a)anthracene",51.1,"N"
"Chrysene",51.6,"N"
"C1-Chrysenes",49.9,"N"
"C2-Chrysenes",50.7,"N"
"C3-Chrysenes",57,"N"
"C4-Chrysenes",NA,NA
"Benzo(b)fluoranthene",47.6,"N"
"Benzo(k)fluoranthene",51.6,"N"
"Benzo(e)pyrene",52.2,"N"
"Benzo(a)pyrene",51.4,"N"
"Perylene",54,"N"
"Indeno(1,2,3-cd)pyrene",54.1,"N"
"Dibenz(a,h)anthracene",53.5,"N"
"Benzo(g,h,i)perylene",51.4,"N"
"Naphthalene",73,"n"
"C1-Naphthalenes",NA,NA
"C2-Naphthalenes",0.9,NA
"C3-Naphthalenes",24.6,NA
"C4-Naphthalenes",1.7,NA
"Biphenyl",NA,NA
"Acenaphthylene",NA,NA
"Acenaphthene",NA,NA
"Fluorene",NA,NA
"C1-Fluorenes",NA,NA
"C2-Fluorenes",NA,NA
"C3-Fluorenes",NA,NA
"Anthracene",NA,NA
"Phenanthrene",21.3,NA
"C1-Phenanthrenes/Anthracenes",5.7,NA
"C2-Phenanthrenes/Anthracenes",27.4,NA
"C3-Phenanthrenes/Anthracenes",0.6,NA
"C4-Phenanthrenes/Anthracenes",14.3,NA
"Fluoranthene",8.2,NA
"Pyrene",12.4,NA
"C1-Fluoranthenes/Pyrenes",11.4,NA
"C2-Fluoranthenes/Pyrenes",21.1,NA
"C3-Fluoranthenes/Pyrenes",NA,NA
"Benzo(a)anthracene",18.1,NA
"Chrysene",4.9,NA
"C1-Chrysenes",16.7,NA
"C2-Chrysenes",7,NA
"C3-Chrysenes",NA,NA
"C4-Chrysenes",NA,NA
