"compound","pct_recovery","qualifier"
"Naphthalene",73,NA
"C1-Naphthalenes",NA,NA
"C2-Naphthalenes",NA,NA
"C3-Naphthalenes",NA,NA
"C4-Naphthalenes",NA,NA
"Biphenyl",65,NA
"Acenaphthylene",70,NA
"Acenaphthene",72,NA
"Fluorene",72,NA
"C1-Fluorenes",NA,NA
"C2-Fluorenes",NA,NA
"C3-Fluorenes",NA,NA
"Anthracene",69,NA
"Phenanthrene",77,NA
"C1-Phenanthrenes/Anthracenes",NA,NA
"C2-Phenanthrenes/Anthracenes",NA,NA
"C3-Phenanthrenes/Anthracenes",NA,NA
"C4-Phenanthrenes/Anthracenes",NA,NA
"Fluoranthene",78,NA
"Pyrene",77,NA
"C1-Fluoranthenes/Pyrenes",NA,NA
"C2-Fluoranthenes/Pyrenes",NA,NA
"C3-Fluoranthenes/Pyrenes",NA,NA
"Benzo(a)anthracene",75,NA
"Chrysene",74,NA
"C1-Chrysenes",NA,NA
"C2-Chrysenes",NA,NA
"C3-Chrysenes",NA,NA
"C4-Chrysenes",NA,NA
"Benzo(b)fluoranthene",72,NA
"Benzo(k)fluoranthene",80,NA
"Benzo(e)pyrene",74,NA
"Benzo(a)pyrene",72,NA
"Perylene",66,NA
"Indeno(1,2,3-cd)pyrene",68,NA
"Dibenz(a,h)anthracene",66,NA
"Benzo(g,h,i)perylene",67,NA
"Naphthalene",70,NA
"C1-Naphthalenes",NA,NA
"C2-Naphthalenes",NA,NA
"C3-Naphthalenes",NA,NA
"C4-Naphthalenes",NA,NA
"Biphenyl",63,NA
"Acenaphthylene",61,NA
"Acenaphthene",53,NA
"Fluorene",NA,"n"
"C1-Fluorenes",NA,NA
"C2-Fluorenes",NA,NA
"C3-Fluorenes",NA,NA
"Anthracene",NA,"n"
"Phenanthrene",NA,"n"
"C1-Phenanthrenes/Anthracenes",NA,NA
"C2-Phenanthrenes/Anthracenes",NA,NA
"C3-Phenanthrenes/Anthracenes",NA,NA
"C4-Phenanthrenes/Anthracenes",NA,NA
"Fluoranthene",NA,"n"
"Pyrene",NA,"n"
"C1-Fluoranthenes/Pyrenes",NA,NA
"C2-Fluoranthenes/Pyrenes",NA,NA
"C3-Fluoranthenes/Pyrenes",NA,NA
"Benzo(a)anthracene",NA,"n"
"Chrysene",NA,"n"
"C1-Chrysenes",NA,NA
"C2-Chrysenes",NA,NA
"C3-Chrysenes",NA,NA
"C4-Chrysenes",NA,NA
"Benzo(b)fluoranthene",NA,"n"
"Benzo(k)fluoranthene",NA,"n"
"Benzo(e)pyrene",NA,"n"
"Benzo(a)pyrene",NA,"n"
"Perylene",NA,"n"
"Indeno(1,2,3-cd)pyrene",NA,"n"
"Dibenz(a,h)anthracene",NA,"n"
"Benzo(g,h,i)perylene",NA,"n"
"Naphthalene",NA,"n"
"C1-Naphthalenes",NA,NA
"C2-Naphthalenes",NA,NA
"C3-Naphthalenes",NA,NA
"C4-Naphthalenes",NA,NA
"Biphenyl",60,NA
"Acenaphthylene",66,NA
"Acenaphthene",61,NA
"Fluorene",62,NA
"C1-Fluorenes",NA,NA
"C2-Fluorenes",NA,NA
"C3-Fluorenes",NA,NA
"Anthracene",51,NA
"Phenanthrene",NA,"n"
"C1-Phenanthrenes/Anthracenes",NA,NA
"C2-Phenanthrenes/Anthracenes",NA,NA
"C3-Phenanthrenes/Anthracenes",NA,NA
"C4-Phenanthrenes/Anthracenes",NA,NA
"Fluoranthene",NA,"n"
"Pyrene",NA,"n"
"C1-Fluoranthenes/Pyrenes",NA,NA
"C2-Fluoranthenes/Pyrenes",NA,NA
"C3-Fluoranthenes/Pyrenes",NA,NA
"Benzo(a)anthracene",NA,"n"
"Chrysene",NA,"n"
"C1-Chrysenes",NA,NA
"C2-Chrysenes",NA,NA
"C3-Chrysenes",NA,NA
"C4-Chrysenes",NA,NA
"Benzo(b)fluoranthene",NA,"n"
"Benzo(k)fluoranthene",NA,"n"
"Benzo(e)pyrene",NA,"n"
"Benzo(a)pyrene",NA,"n"
"Perylene",49,NA
"Indeno(1,2,3-cd)pyrene",NA,"n"
"Dibenz(a,h)anthracene",59,NA
"Benzo(g,h,i)perylene",NA,"n"
"Naphthalene",80,NA
"C1-Naphthalenes",NA,NA
"C2-Naphthalenes",NA,NA
"C3-Naphthalenes",NA,NA
"C4-Naphthalenes",NA,NA
"Biphenyl",76,NA
"Acenaphthylene",81,NA
"Acenaphthene",84,NA
"Fluorene",86,NA
"C1-Fluorenes",NA,NA
"C2-Fluorenes",NA,NA
"C3-Fluorenes",NA,NA
"Anthracene",79,NA
"Phenanthrene",83,NA
"C1-Phenanthrenes/Anthracenes",NA,NA
"C2-Phenanthrenes/Anthracenes",NA,NA
"C3-Phenanthrenes/Anthracenes",NA,NA
"C4-Phenanthrenes/Anthracenes",NA,NA
"Fluoranthene",NA,"n"
"Pyrene",115,NA
"C1-Fluoranthenes/Pyrenes",NA,NA
"C2-Fluoranthenes/Pyrenes",NA,NA
"C3-Fluoranthenes/Pyrenes",NA,NA
"Benzo(a)anthracene",97,NA
"Chrysene",114,NA
"C1-Chrysenes",NA,NA
"C2-Chrysenes",NA,NA
"C3-Chrysenes",NA,NA
"C4-Chrysenes",NA,NA
"Benzo(b)fluoranthene",NA,"n"
"Benzo(k)fluoranthene",NA,"n"
"Benzo(e)pyrene",117,NA
"Benzo(a)pyrene",108,NA
"Perylene",96,NA
"Indeno(1,2,3-cd)pyrene",NA,"n"
"Dibenz(a,h)anthracene",90,NA
"Benzo(g,h,i)perylene",117,NA
"Naphthalene",44,NA
"C1-Naphthalenes",NA,NA
"C2-Naphthalenes",NA,NA
"C3-Naphthalenes",NA,NA
"C4-Naphthalenes",NA,NA
"Biphenyl",56,NA
"Acenaphthylene",63,NA
"Acenaphthene",NA,"n"
"Fluorene",NA,"n"
"C1-Fluorenes",NA,NA
"C2-Fluorenes",NA,NA
"C3-Fluorenes",NA,NA
"Anthracene",NA,"n"
"Phenanthrene",NA,"n"
"C1-Phenanthrenes/Anthracenes",NA,NA
"C2-Phenanthrenes/Anthracenes",NA,NA
"C3-Phenanthrenes/Anthracenes",NA,NA
"C4-Phenanthrenes/Anthracenes",NA,NA
"Fluoranthene",NA,"n"
"Pyrene",NA,"n"
"C1-Fluoranthenes/Pyrenes",NA,NA
"C2-Fluoranthenes/Pyrenes",NA,NA
"C3-Fluoranthenes/Pyrenes",NA,NA
"Benzo(a)anthracene",NA,"n"
"Chrysene",NA,"n"
"C1-Chrysenes",NA,NA
"C2-Chrysenes",NA,NA
"C3-Chrysenes",NA,NA
"C4-Chrysenes",NA,NA
"Benzo(b)fluoranthene",NA,"n"
"Benzo(k)fluoranthene",NA,"n"
"Benzo(e)pyrene",NA,"n"
"Benzo(a)pyrene",NA,"n"
"Perylene",NA,"n"
"Indeno(1,2,3-cd)pyrene",NA,"n"
"Dibenz(a,h)anthracene",NA,"n"
"Benzo(g,h,i)perylene",NA,"n"
