"PARAM_SYNONYM","RESULT"
"Acenaphthene-d10",53
"Benzo(a)pyrene-d12",56
"Naphthalene-d8",43
"Phenanthrene-d10",59
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",55
"Naphthalene-d8",62
"Phenanthrene-d10",75
"Acenaphthene-d10",68
"Benzo(a)pyrene-d12",61
"Naphthalene-d8",62
"Phenanthrene-d10",77
"Acenaphthene-d10",66
"Benzo(a)pyrene-d12",56
"Naphthalene-d8",62
"Phenanthrene-d10",73
"Acenaphthene-d10",54
"Benzo(a)pyrene-d12",44
"Naphthalene-d8",52
"Phenanthrene-d10",61
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",66
"Naphthalene-d8",67
"Phenanthrene-d10",69
"Acenaphthene-d10",86
"Benzo(a)pyrene-d12",83
"Naphthalene-d8",89
"Phenanthrene-d10",89
"Acenaphthene-d10",65
"Benzo(a)pyrene-d12",66
"Naphthalene-d8",63
"Phenanthrene-d10",67
"Acenaphthene-d10",64
"Benzo(a)pyrene-d12",66
"Naphthalene-d8",58
"Phenanthrene-d10",72
"Acenaphthene-d10",68
"Benzo(a)pyrene-d12",66
"Naphthalene-d8",61
"Phenanthrene-d10",74
"Acenaphthene-d10",65
"Benzo(a)pyrene-d12",65
"Naphthalene-d8",61
"Phenanthrene-d10",72
"Acenaphthene-d10",69
"Benzo(a)pyrene-d12",68
"Naphthalene-d8",62
"Phenanthrene-d10",73
"Acenaphthene-d10",63
"Benzo(a)pyrene-d12",58
"Naphthalene-d8",57
"Phenanthrene-d10",67
"Acenaphthene-d10",58
"Benzo(a)pyrene-d12",53
"Naphthalene-d8",55
"Phenanthrene-d10",61
"Acenaphthene-d10",62
"Benzo(a)pyrene-d12",52
"Naphthalene-d8",60
"Phenanthrene-d10",67
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",63
"Naphthalene-d8",63
"Phenanthrene-d10",70
"Acenaphthene-d10",63
"Benzo(a)pyrene-d12",65
"Naphthalene-d8",60
"Phenanthrene-d10",68
"Acenaphthene-d10",62
"Benzo(a)pyrene-d12",50
"Naphthalene-d8",54
"Phenanthrene-d10",64
"Acenaphthene-d10",69
"Benzo(a)pyrene-d12",62
"Naphthalene-d8",65
"Phenanthrene-d10",74
"Acenaphthene-d10",64
"Benzo(a)pyrene-d12",59
"Naphthalene-d8",56
"Phenanthrene-d10",70
"Acenaphthene-d10",64
"Benzo(a)pyrene-d12",66
"Naphthalene-d8",60
"Phenanthrene-d10",70
"Acenaphthene-d10",54
"Benzo(a)pyrene-d12",55
"Naphthalene-d8",47
"Phenanthrene-d10",59
"Acenaphthene-d10",68
"Benzo(a)pyrene-d12",67
"Naphthalene-d8",61
"Phenanthrene-d10",74
"Acenaphthene-d10",69
"Benzo(a)pyrene-d12",61
"Naphthalene-d8",65
"Phenanthrene-d10",74
"Acenaphthene-d10",72
"Benzo(a)pyrene-d12",58
"Naphthalene-d8",65
"Phenanthrene-d10",73
"Acenaphthene-d10",63
"Benzo(a)pyrene-d12",55
"Naphthalene-d8",56
"Phenanthrene-d10",71
"Acenaphthene-d10",60
"Benzo(a)pyrene-d12",53
"Naphthalene-d8",54
"Phenanthrene-d10",63
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",62
"Naphthalene-d8",56
"Phenanthrene-d10",73
"Acenaphthene-d10",50
"Benzo(a)pyrene-d12",50
"Naphthalene-d8",44
"Phenanthrene-d10",57
"Acenaphthene-d10",51
"Benzo(a)pyrene-d12",51
"Naphthalene-d8",49
"Phenanthrene-d10",56
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",63
"Naphthalene-d8",66
"Phenanthrene-d10",72
"Acenaphthene-d10",63
"Benzo(a)pyrene-d12",62
"Naphthalene-d8",62
"Phenanthrene-d10",67
"Acenaphthene-d10",87
"Benzo(a)pyrene-d12",85
"Naphthalene-d8",84
"Phenanthrene-d10",93
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",61
"Naphthalene-d8",65
"Phenanthrene-d10",72
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",62
"Naphthalene-d8",63
"Phenanthrene-d10",79
"Acenaphthene-d10",55
"Benzo(a)pyrene-d12",61
"Naphthalene-d8",47
"Phenanthrene-d10",62
"Acenaphthene-d10",66
"Benzo(a)pyrene-d12",70
"Naphthalene-d8",66
"Phenanthrene-d10",72
"Acenaphthene-d10",59
"Benzo(a)pyrene-d12",64
"Naphthalene-d8",54
"Phenanthrene-d10",68
"Acenaphthene-d10",83
"Benzo(a)pyrene-d12",84
"Naphthalene-d8",82
"Phenanthrene-d10",88
"Acenaphthene-d10",59
"Benzo(a)pyrene-d12",60
"Naphthalene-d8",56
"Phenanthrene-d10",65
"Acenaphthene-d10",53
"Benzo(a)pyrene-d12",53
"Naphthalene-d8",51
"Phenanthrene-d10",56
"Acenaphthene-d10",58
"Benzo(a)pyrene-d12",60
"Naphthalene-d8",52
"Phenanthrene-d10",64
"Acenaphthene-d10",66
"Benzo(a)pyrene-d12",66
"Naphthalene-d8",59
"Phenanthrene-d10",73
"Acenaphthene-d10",67
"Benzo(a)pyrene-d12",67
"Naphthalene-d8",62
"Phenanthrene-d10",80
"Acenaphthene-d10",60
"Benzo(a)pyrene-d12",57
"Naphthalene-d8",52
"Phenanthrene-d10",68
"Acenaphthene-d10",59
"Benzo(a)pyrene-d12",63
"Naphthalene-d8",49
"Phenanthrene-d10",69
"Acenaphthene-d10",63
