"date","station_id","site_abbrev","site_description","state","watershed","analysis_method","cas_num","parameter","parameter_description","parameter_class","result","lab_qualifier","unit","detect_limit","detect_limit_code"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","160.3 Modified","TOTAL_SOLIDS","TOTAL_SOLIDS","Total Solids","SOLIDS",66.6,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D4129-05M","TOC","TOC","Total Organic Carbon","TOC",1.81,"*","PCT",0.05,"RDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","GRAVEL_MED_4.75MM","GRAVEL_MED_4.75MM","Gravel Medium No. 4 (4.75 mm)","GS_P",13.37,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","GRAVEL_FINE_2MM","GRAVEL_FINE_2MM","Gravel Fine No. 10 (2.00 mm)","GS_P",4.29,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","SAND_VCOARSE_0.85MM","SAND_VCOARSE_0.85MM","Sand Very Coarse No. 20 (0.850 mm)","GS_P",5.97,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","SAND_COARSE_0.425MM","SAND_COARSE_0.425MM","Sand Coarse No. 40 (0.425 mm)","GS_P",3.68,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","SAND_MED_0.25MM","SAND_MED_0.25MM","Sand Medium No. 60 (0.25 mm)","GS_P",5.26,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","SAND_FINE_0.106MM","SAND_FINE_0.106MM","Sand Fine No. 140 (0.106 mm)","GS_P",16.86,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","SAND_VFINE_0.075MM","SAND_VFINE_0.075MM","Sand Very Fine No. 200 (0.075 mm)","GS_P",5.95,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","75.0_UM","75.0_UM","75.0 um","GS_P",3.79,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","31.3_UM","31.3_UM","31.3 um","GS_P",11.55,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","15.6_UM","15.6_UM","15.6 um","GS_P",7.9,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","7.8_UM","7.8_UM","7.8 um","GS_P",7.62,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","3.9_UM","3.9_UM","3.9 um","GS_P",5.63,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","1.95_UM","1.95_UM","1.95 um","GS_P",4.16,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","ASTM D422M","0.98_UM","0.98_UM","0.98 um","GS_P",5.01,NA,"PCT",NA,NA
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","92-52-4","Biphenyl","Biphenyl","CON",0.42,"J","NG/G_DRY",0.33,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","83-32-9","Acenaphthene","Acenaphthene","PAH",2.41,NA,"NG/G_DRY",0.21,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","208-96-8","Acenaphthylene","Acenaphthylene","PAH",1.33,"J","NG/G_DRY",0.45,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","120-12-7","Anthracene","Anthracene","PAH",6.01,NA,"NG/G_DRY",0.31,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","56-55-3","Benz(a)anthracene","Benzo(a)anthracene","PAH",75.56,NA,"NG/G_DRY",0.43,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","50-32-8","Benzo(a)pyrene","Benzo(a)pyrene","PAH",126.64,NA,"NG/G_DRY",1.18,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","205-99-2","Benzo(b)fluoranthene","Benzo(b)fluoranthene","PAH",191.58,NA,"NG/G_DRY",0.56,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","192-97-2","Benzo(e)pyrene","Benzo(e)pyrene","PAH",136.55,NA,"NG/G_DRY",0.58,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","191-24-2","Benzo(g,h,i)perylene","Benzo(g,h,i)perylene","PAH",132.99,NA,"NG/G_DRY",0.73,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","207-08-9","Benzo(k)fluoranthene","Benzo(k)fluoranthene","PAH",157.83,NA,"NG/G_DRY",0.75,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-80","C1-Chrysenes","C1-Chrysenes","PAH",36.03,NA,"NG/G_DRY",0.75,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-77","C1-Fluoranthenes/Pyrenes","C1-Fluoranthenes/Pyrenes","PAH",70.01,NA,"NG/G_DRY",0.7,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-66","C1-Fluorenes","C1-Fluorenes","PAH",1.69,NA,"NG/G_DRY",0.24,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-62","C1-Naphthalenes","C1-Naphthalenes","PAH",1.79,NA,"NG/G_DRY",0.25,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-69","C1-Phenanthrenes/Anthracenes","C1-Phenanthrenes/Anthracenes","PAH",18.43,NA,"NG/G_DRY",0.32,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-81","C2-Chrysenes","C2-Chrysenes","PAH",20.2,NA,"NG/G_DRY",0.75,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-78","C2-Fluoranthenes/Pyrenes","C2-Fluoranthenes/Pyrenes","PAH",53.73,NA,"NG/G_DRY",0.7,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-67","C2-Fluorenes","C2-Fluorenes","PAH",3.15,NA,"NG/G_DRY",0.24,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-63","C2-Naphthalenes","C2-Naphthalenes","PAH",2.57,NA,"NG/G_DRY",0.25,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-70","C2-Phenanthrenes/Anthracenes","C2-Phenanthrenes/Anthracenes","PAH",13.89,NA,"NG/G_DRY",0.32,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-82","C3-Chrysenes","C3-Chrysenes","PAH",22.09,NA,"NG/G_DRY",0.75,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-79","C3-Fluoranthenes/Pyrenes","C3-Fluoranthenes/Pyrenes","PAH",24.2,NA,"NG/G_DRY",0.7,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-68","C3-Fluorenes","C3-Fluorenes","PAH",0,"U","NG/G_DRY",0.24,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-64","C3-Naphthalenes","C3-Naphthalenes","PAH",2.15,NA,"NG/G_DRY",0.25,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-71","C3-Phenanthrenes/Anthracenes","C3-Phenanthrenes/Anthracenes","PAH",8.8,NA,"NG/G_DRY",0.32,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-83","C4-Chrysenes","C4-Chrysenes","PAH",0,"U","NG/G_DRY",0.75,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-65","C4-Naphthalenes","C4-Naphthalenes","PAH",2.27,NA,"NG/G_DRY",0.25,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","BDO-72","C4-Phenanthrenes/Anthracenes","C4-Phenanthrenes/Anthracenes","PAH",6.34,NA,"NG/G_DRY",0.32,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","218-01-9","Chrysene","Chrysene","PAH",167.42,NA,"NG/G_DRY",0.75,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","53-70-3","Dibenz(a,h)anthracene","Dibenz(a,h)anthracene","PAH",23.65,NA,"NG/G_DRY",0.56,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","206-44-0","Fluoranthene","Fluoranthene","PAH",291.47,NA,"NG/G_DRY",0.5,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","86-73-7","Fluorene","Fluorene","PAH",4.7,NA,"NG/G_DRY",0.24,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","193-39-5","Indeno(1,2,3-cd)pyrene","Indeno(1,2,3-cd)pyrene","PAH",149.32,NA,"NG/G_DRY",0.6,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","91-20-3","Naphthalene","Naphthalene","PAH",2.1,NA,"NG/G_DRY",0.25,"MDL"
2017-06-08,"0408507150","ACA","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI","WI","Fox","BDO-5-157","198-55-0","Perylene","Perylene","PAH",34.28,NA,"NG/G_DRY",0.35,"MDL"
