"unique_site_id","state","watershed","lake","usgs_station_id","site_description","latitude","longitude","collection_date","parameter","parameter_description","result","lab_qualifier","result_unit","detection_limit","detection_limit_code"
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"TOTAL_SOLIDS","Total Solids",66.6,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"TOC","Total Organic Carbon",1.81,"*","PCT",0.05,"RDL"
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"GRAVEL_MED_4.75MM","Gravel Medium No. 4 (4.75 mm)",13.37,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"GRAVEL_FINE_2MM","Gravel Fine No. 10 (2.00 mm)",4.29,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"SAND_VCOARSE_0.85MM","Sand Very Coarse No. 20 (0.850 mm)",5.97,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"SAND_COARSE_0.425MM","Sand Coarse No. 40 (0.425 mm)",3.68,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"SAND_MED_0.25MM","Sand Medium No. 60 (0.25 mm)",5.26,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"SAND_FINE_0.106MM","Sand Fine No. 140 (0.106 mm)",16.86,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"SAND_VFINE_0.075MM","Sand Very Fine No. 200 (0.075 mm)",5.95,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"75.0_UM","75.0 um",3.79,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"31.3_UM","31.3 um",11.55,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"15.6_UM","15.6 um",7.9,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"7.8_UM","7.8 um",7.62,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"3.9_UM","3.9 um",5.63,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"1.95_UM","1.95 um",4.16,NA,"PCT",NA,NA
"WI-ACA","WI","Fox","Michigan","0408507150","ASHWAUBENON CREEK ABOVE PARKVIEW RD AT DE PERE, WI",44.466375,-88.064232,2017-06-08,"0.98_UM","0.98 um",5.01,NA,"PCT",NA,NA
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"TOTAL_SOLIDS","Total Solids",77.9,NA,"PCT",NA,NA
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"TOC","Total Organic Carbon",0.437,"*","PCT",0.05,"RDL"
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"GRAVEL_MED_4.75MM","Gravel Medium No. 4 (4.75 mm)",23.05,NA,"PCT",NA,NA
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"GRAVEL_FINE_2MM","Gravel Fine No. 10 (2.00 mm)",15.23,NA,"PCT",NA,NA
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"SAND_VCOARSE_0.85MM","Sand Very Coarse No. 20 (0.850 mm)",26.51,NA,"PCT",NA,NA
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"SAND_COARSE_0.425MM","Sand Coarse No. 40 (0.425 mm)",25.6,NA,"PCT",NA,NA
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"SAND_MED_0.25MM","Sand Medium No. 60 (0.25 mm)",8.08,NA,"PCT",NA,NA
"NY-ACR","NY","Irondequiot","Ontario","04232050","ALLEN CREEK NEAR ROCHESTER NY",43.130278,-77.518611,2017-06-06,"SAND_FINE_0.106MM","Sand Fine No. 140 (0.106 mm)",1.9,NA,"PCT",NA,NA
