"source","n","median","mean"
"ASP2",70,4.9326545393985,4.93061586216223
"CCB1",70,3.20831983549172,3.29946584202391
"COKE",70,5.99504147200937,6.1240674569271
"CRE2",70,6.80445268668223,6.91776678233677
"CRE4",70,7.69878579237635,7.82475569508743
"CTD7",70,1.41636974888857,1.65548153894522
"CTR0",70,5.78936807184391,5.85110420373443
"DVEM",70,5.78196280823991,5.74514711754858
"FOC1",70,5.09602083183658,5.18661189736557
"GVEM",70,4.14811171865116,4.22900368908903
"OAKS",70,9.95129287026524,9.92768277786282
"PIN1",70,4.54461968294233,4.56968442666521
"PIN2",70,2.32381542338189,2.53225605776015
"PPLT",70,3.83609200011127,3.9611177959301
"RESI",70,5.95922117143969,6.11730082093073
"TIRE",70,9.14626217322793,9.01328278103528
"TUN1",70,3.47998631338332,3.71813433423752
"UMO1",70,8.25235453446738,8.23868597491815
"UMO2",70,6.36640875797725,6.31883855508935
"VAVG",70,2.99821085006269,3.01302985465451
