"compound","r.IN.CCD","r.IN.CCU","r.IN.IHC","r.IN.PBW","r.MI.BAR","r.MI.BCK","r.MI.CLT","r.MI.CRM","r.MI.GRE","r.MI.IND","r.MI.LRB","r.MI.LRH","r.MI.LRW","r.MI.NBC","r.MI.PEA","r.MI.PLS","r.MI.RRB","r.MI.RRD","r.MI.RRR","r.MI.RRS","r.MI.SAG","r.MI.SJO","r.MI.TBC","r.MN.SLR","r.NY.ACR","r.NY.CCI","r.NY.GBF","r.NY.GRF","r.NY.HBK","r.NY.ICB","r.NY.ICR","r.NY.LEY","r.NY.NCG","r.NY.SCH","r.NY.TCR","r.OH.CRI","r.OH.CRM","r.OH.CRP","r.OH.EBR","r.OH.MRW","r.OH.RRB","r.OH.RRS","r.OH.SCE","r.OH.SCO","r.OH.SCT","r.OH.TCD","r.OH.WBR","r.OH.WCI","r.WI.ACA","r.WI.BRO","r.WI.ERG","r.WI.GCK","r.WI.KKL","r.WI.LML","r.WI.MAM","r.WI.MEB","r.WI.MEC","r.WI.MEF","r.WI.MER","r.WI.MET","r.WI.MIE","r.WI.MIM","r.WI.MIP","r.WI.NRL","r.WI.OCM","r.WI.RRC","r.WI.RRL","r.WI.RRR","r.WI.UCJ","r.WI.WMC"
"IN-CCD",1,0.853146853146853,0.86013986013986,0.671328671328671,0.811188811188811,0.972027972027972,0.846153846153846,0.818181818181818,0.734265734265734,0.727272727272727,0.867132867132867,0.86013986013986,0.979020979020979,0.825174825174825,0.909090909090909,0.951048951048951,0.993006993006993,0.993006993006993,0.636363636363636,0.986013986013986,0.699300699300699,0.888111888111888,0.986013986013986,0.734265734265734,0.972027972027972,0.958041958041958,0.972027972027972,0.699300699300699,0.972027972027972,0.986013986013986,0.853146853146853,0.965034965034965,0.636363636363636,0.944055944055944,0.986013986013986,0.965034965034965,0.713286713286713,0.923076923076923,0.72027972027972,0.741258741258741,0.440559440559441,0.958041958041958,0.881118881118881,0.881118881118881,0.986013986013986,0.853146853146853,0.643356643356643,0.958041958041958,0.622377622377622,0.859654414632567,0.699300699300699,0.664335664335664,0.944055944055944,0.951048951048951,0.867132867132867,0.944055944055944,0.986013986013986,0.741258741258741,0.979020979020979,0.937062937062937,0.937062937062937,0.93006993006993,0.783216783216783,0.671328671328671,0.965034965034965,0.818181818181818,0.888111888111888,0.65034965034965,0.965034965034965,0.895104895104895
"IN-CCU",0.853146853146853,1,0.839160839160839,0.902097902097902,0.867132867132867,0.783216783216783,0.881118881118881,0.825174825174825,0.916083916083916,0.853146853146853,0.958041958041958,0.741258741258741,0.79020979020979,0.692307692307692,0.685314685314685,0.755244755244755,0.825174825174825,0.825174825174825,0.818181818181818,0.818181818181818,0.93006993006993,0.79020979020979,0.797202797202797,0.657342657342657,0.783216783216783,0.797202797202797,0.783216783216783,0.93006993006993,0.839160839160839,0.846153846153846,0.86013986013986,0.811188811188811,0.846153846153846,0.846153846153846,0.846153846153846,0.755244755244755,0.888111888111888,0.797202797202797,0.58041958041958,0.909090909090909,0.293706293706294,0.825174825174825,0.727272727272727,0.804195804195804,0.846153846153846,0.748251748251748,0.48951048951049,0.811188811188811,0.825174825174825,0.852636827574342,0.909090909090909,0.867132867132867,0.741258741258741,0.958041958041958,0.888111888111888,0.839160839160839,0.846153846153846,0.909090909090909,0.839160839160839,0.769230769230769,0.741258741258741,0.909090909090909,0.881118881118881,0.86013986013986,0.811188811188811,0.916083916083916,0.825174825174825,0.832167832167832,0.832167832167832,0.832167832167832
"IN-IHC",0.86013986013986,0.839160839160839,1,0.72027972027972,0.643356643356643,0.804195804195804,0.65034965034965,0.608391608391608,0.839160839160839,0.818181818181818,0.762237762237762,0.636363636363636,0.902097902097902,0.559440559440559,0.846153846153846,0.748251748251748,0.853146853146853,0.853146853146853,0.538461538461538,0.839160839160839,0.678321678321678,0.93006993006993,0.881118881118881,0.678321678321678,0.853146853146853,0.867132867132867,0.888111888111888,0.678321678321678,0.867132867132867,0.846153846153846,0.629370629370629,0.895104895104895,0.629370629370629,0.818181818181818,0.846153846153846,0.881118881118881,0.79020979020979,0.692307692307692,0.440559440559441,0.846153846153846,0.146853146853147,0.811188811188811,0.615384615384615,0.615384615384615,0.846153846153846,0.573426573426573,0.377622377622378,0.783216783216783,0.594405594405594,0.831584066399667,0.699300699300699,0.601398601398601,0.888111888111888,0.881118881118881,0.699300699300699,0.755244755244755,0.846153846153846,0.671328671328671,0.832167832167832,0.881118881118881,0.923076923076923,0.804195804195804,0.706293706293706,0.615384615384615,0.895104895104895,0.769230769230769,0.734265734265734,0.573426573426573,0.804195804195804,0.685314685314685
"IN-PBW",0.671328671328671,0.902097902097902,0.72027972027972,1,0.839160839160839,0.664335664335664,0.846153846153846,0.839160839160839,0.902097902097902,0.923076923076923,0.888111888111888,0.531468531468531,0.594405594405594,0.545454545454545,0.517482517482518,0.636363636363636,0.678321678321678,0.678321678321678,0.93006993006993,0.671328671328671,0.972027972027972,0.685314685314685,0.643356643356643,0.461538461538462,0.629370629370629,0.608391608391608,0.587412587412587,0.972027972027972,0.699300699300699,0.706293706293706,0.783216783216783,0.664335664335664,0.972027972027972,0.776223776223776,0.706293706293706,0.594405594405594,0.937062937062937,0.713286713286713,0.433566433566434,0.916083916083916,0.195804195804196,0.678321678321678,0.48951048951049,0.685314685314685,0.706293706293706,0.601398601398601,0.251748251748252,0.608391608391608,0.951048951048951,0.656144389944041,0.993006993006993,0.944055944055944,0.58041958041958,0.846153846153846,0.804195804195804,0.734265734265734,0.706293706293706,0.951048951048951,0.699300699300699,0.65034965034965,0.58041958041958,0.846153846153846,0.951048951048951,0.965034965034965,0.664335664335664,0.944055944055944,0.804195804195804,0.944055944055944,0.727272727272727,0.783216783216783
"MI-BAR",0.811188811188811,0.867132867132867,0.643356643356643,0.839160839160839,1,0.811188811188811,0.986013986013986,0.944055944055944,0.797202797202797,0.818181818181818,0.951048951048951,0.818181818181818,0.734265734265734,0.853146853146853,0.601398601398601,0.867132867132867,0.797202797202797,0.797202797202797,0.909090909090909,0.79020979020979,0.909090909090909,0.685314685314685,0.762237762237762,0.629370629370629,0.748251748251748,0.713286713286713,0.727272727272727,0.909090909090909,0.748251748251748,0.79020979020979,0.958041958041958,0.713286713286713,0.839160839160839,0.811188811188811,0.79020979020979,0.713286713286713,0.769230769230769,0.881118881118881,0.734265734265734,0.804195804195804,0.524475524475524,0.755244755244755,0.804195804195804,0.916083916083916,0.79020979020979,0.874125874125874,0.608391608391608,0.734265734265734,0.902097902097902,0.771934576404754,0.86013986013986,0.944055944055944,0.664335664335664,0.867132867132867,0.888111888111888,0.825174825174825,0.79020979020979,0.944055944055944,0.783216783216783,0.692307692307692,0.629370629370629,0.881118881118881,0.888111888111888,0.909090909090909,0.713286713286713,0.853146853146853,0.944055944055944,0.923076923076923,0.804195804195804,0.923076923076923
"MI-BCK",0.972027972027972,0.783216783216783,0.804195804195804,0.664335664335664,0.811188811188811,1,0.846153846153846,0.839160839160839,0.706293706293706,0.741258741258741,0.832167832167832,0.797202797202797,0.951048951048951,0.797202797202797,0.923076923076923,0.972027972027972,0.986013986013986,0.986013986013986,0.657342657342657,0.993006993006993,0.671328671328671,0.902097902097902,0.972027972027972,0.657342657342657,0.986013986013986,0.951048951048951,0.958041958041958,0.671328671328671,0.944055944055944,0.972027972027972,0.825174825174825,0.93006993006993,0.65034965034965,0.951048951048951,0.972027972027972,0.972027972027972,0.699300699300699,0.951048951048951,0.699300699300699,0.727272727272727,0.426573426573427,0.951048951048951,0.825174825174825,0.867132867132867,0.972027972027972,0.825174825174825,0.58041958041958,0.93006993006993,0.636363636363636,0.764916989346529,0.692307692307692,0.664335664335664,0.951048951048951,0.916083916083916,0.832167832167832,0.951048951048951,0.972027972027972,0.734265734265734,0.979020979020979,0.909090909090909,0.916083916083916,0.916083916083916,0.804195804195804,0.678321678321678,0.93006993006993,0.811188811188811,0.923076923076923,0.664335664335664,0.965034965034965,0.909090909090909
"MI-CLT",0.846153846153846,0.881118881118881,0.65034965034965,0.846153846153846,0.986013986013986,0.846153846153846,1,0.972027972027972,0.769230769230769,0.79020979020979,0.958041958041958,0.839160839160839,0.755244755244755,0.874125874125874,0.629370629370629,0.881118881118881,0.839160839160839,0.839160839160839,0.902097902097902,0.832167832167832,0.909090909090909,0.692307692307692,0.797202797202797,0.65034965034965,0.783216783216783,0.748251748251748,0.748251748251748,0.909090909090909,0.811188811188811,0.846153846153846,0.979020979020979,0.769230769230769,0.839160839160839,0.874125874125874,0.846153846153846,0.741258741258741,0.762237762237762,0.923076923076923,0.776223776223776,0.776223776223776,0.566433566433566,0.818181818181818,0.832167832167832,0.951048951048951,0.846153846153846,0.909090909090909,0.636363636363636,0.797202797202797,0.881118881118881,0.782460956992092,0.881118881118881,0.93006993006993,0.699300699300699,0.895104895104895,0.937062937062937,0.888111888111888,0.846153846153846,0.944055944055944,0.839160839160839,0.748251748251748,0.671328671328671,0.93006993006993,0.923076923076923,0.909090909090909,0.769230769230769,0.888111888111888,0.944055944055944,0.916083916083916,0.867132867132867,0.965034965034965
"MI-CRM",0.818181818181818,0.825174825174825,0.608391608391608,0.839160839160839,0.944055944055944,0.839160839160839,0.972027972027972,1,0.734265734265734,0.79020979020979,0.895104895104895,0.79020979020979,0.72027972027972,0.839160839160839,0.615384615384615,0.874125874125874,0.832167832167832,0.832167832167832,0.916083916083916,0.818181818181818,0.867132867132867,0.657342657342657,0.79020979020979,0.566433566433566,0.762237762237762,0.699300699300699,0.706293706293706,0.867132867132867,0.804195804195804,0.839160839160839,0.965034965034965,0.762237762237762,0.86013986013986,0.888111888111888,0.839160839160839,0.72027972027972,0.776223776223776,0.895104895104895,0.741258741258741,0.741258741258741,0.552447552447552,0.825174825174825,0.776223776223776,0.923076923076923,0.839160839160839,0.867132867132867,0.58041958041958,0.783216783216783,0.888111888111888,0.673688357589604,0.874125874125874,0.902097902097902,0.671328671328671,0.867132867132867,0.937062937062937,0.867132867132867,0.839160839160839,0.902097902097902,0.825174825174825,0.748251748251748,0.65034965034965,0.916083916083916,0.93006993006993,0.909090909090909,0.762237762237762,0.895104895104895,0.944055944055944,0.923076923076923,0.867132867132867,0.944055944055944
"MI-GRE",0.734265734265734,0.916083916083916,0.839160839160839,0.902097902097902,0.797202797202797,0.706293706293706,0.769230769230769,0.734265734265734,1,0.951048951048951,0.846153846153846,0.559440559440559,0.713286713286713,0.510489510489511,0.664335664335664,0.678321678321678,0.72027972027972,0.72027972027972,0.804195804195804,0.727272727272727,0.874125874125874,0.832167832167832,0.706293706293706,0.510489510489511,0.72027972027972,0.72027972027972,0.72027972027972,0.874125874125874,0.692307692307692,0.713286713286713,0.713286713286713,0.678321678321678,0.86013986013986,0.734265734265734,0.713286713286713,0.706293706293706,0.944055944055944,0.65034965034965,0.377622377622378,0.993006993006993,0.0839160839160839,0.72027972027972,0.524475524475524,0.629370629370629,0.713286713286713,0.538461538461538,0.286713286713287,0.671328671328671,0.846153846153846,0.691232325235166,0.867132867132867,0.839160839160839,0.692307692307692,0.874125874125874,0.748251748251748,0.678321678321678,0.713286713286713,0.839160839160839,0.72027972027972,0.636363636363636,0.664335664335664,0.769230769230769,0.811188811188811,0.825174825174825,0.678321678321678,0.839160839160839,0.797202797202797,0.811188811188811,0.685314685314685,0.678321678321678
"MI-IND",0.727272727272727,0.853146853146853,0.818181818181818,0.923076923076923,0.818181818181818,0.741258741258741,0.79020979020979,0.79020979020979,0.951048951048951,1,0.839160839160839,0.510489510489511,0.706293706293706,0.510489510489511,0.65034965034965,0.727272727272727,0.741258741258741,0.741258741258741,0.853146853146853,0.734265734265734,0.867132867132867,0.818181818181818,0.734265734265734,0.412587412587413,0.72027972027972,0.678321678321678,0.699300699300699,0.867132867132867,0.706293706293706,0.727272727272727,0.72027972027972,0.699300699300699,0.909090909090909,0.769230769230769,0.727272727272727,0.713286713286713,0.958041958041958,0.692307692307692,0.342657342657343,0.972027972027972,0.0769230769230769,0.692307692307692,0.475524475524476,0.622377622377622,0.727272727272727,0.531468531468531,0.202797202797203,0.615384615384615,0.902097902097902,0.624565248182029,0.888111888111888,0.86013986013986,0.685314685314685,0.86013986013986,0.72027972027972,0.692307692307692,0.727272727272727,0.867132867132867,0.72027972027972,0.685314685314685,0.671328671328671,0.804195804195804,0.874125874125874,0.881118881118881,0.699300699300699,0.888111888111888,0.867132867132867,0.867132867132867,0.72027972027972,0.727272727272727
