"compound","P.IN.CCD","P.IN.CCU","P.IN.IHC","P.IN.PBW","P.MI.BAR","P.MI.BCK","P.MI.CLT","P.MI.CRM","P.MI.GRE","P.MI.IND","P.MI.LRB","P.MI.LRH","P.MI.LRW","P.MI.NBC","P.MI.PEA","P.MI.PLS","P.MI.RRB","P.MI.RRD","P.MI.RRR","P.MI.RRS","P.MI.SAG","P.MI.SJO","P.MI.TBC","P.MN.SLR","P.NY.ACR","P.NY.CCI","P.NY.GBF","P.NY.GRF","P.NY.HBK","P.NY.ICB","P.NY.ICR","P.NY.LEY","P.NY.NCG","P.NY.SCH","P.NY.TCR","P.OH.CRI","P.OH.CRM","P.OH.CRP","P.OH.EBR","P.OH.MRW","P.OH.RRB","P.OH.RRS","P.OH.SCE","P.OH.SCO","P.OH.SCT","P.OH.TCD","P.OH.WBR","P.OH.WCI","P.WI.ACA","P.WI.BRO","P.WI.ERG","P.WI.GCK","P.WI.KKL","P.WI.LML","P.WI.MAM","P.WI.MEB","P.WI.MEC","P.WI.MEF","P.WI.MER","P.WI.MET","P.WI.MIE","P.WI.MIM","P.WI.MIP","P.WI.NRL","P.WI.OCM","P.WI.RRC","P.WI.RRL","P.WI.RRR","P.WI.UCJ","P.WI.WMC"
"IN-CCD",NA,0.000418117940415019,0.000331668339126789,0.0168314561868934,0.00136331525272704,1.28681157507415e-07,0.000521133700480902,0.00114310508680404,0.00654349014683797,0.00735502885780503,0.000259811849861347,0.000331668339126789,3.08980139251958e-08,0.000951362855555526,4.19104465303466e-05,2.03842463242232e-06,1.30167432388362e-10,1.30167432388362e-10,0.0260968910527031,4.11689593526887e-09,0.011374198642691,0.000114133598146271,4.11689593526887e-09,0.00654349014683797,1.28681157507415e-07,9.54358182703174e-07,1.28681157507415e-07,0.011374198642691,1.28681157507415e-07,4.11689593526887e-09,0.000418117940415019,3.88098529979786e-07,0.0260968910527031,3.92726108100483e-06,4.11689593526887e-09,3.88098529979786e-07,0.00920177977763492,1.86219510986962e-05,0.00823976871233834,0.00580115047447816,0.15173503571673,9.54358182703174e-07,0.000152674064676672,0.000152674064676672,4.11689593526887e-09,0.000418117940415019,0.0240031912007137,9.54358182703174e-07,0.0306758950616401,0.000337176250053473,0.011374198642691,0.0184527180284455,3.92726108100483e-06,2.03842463242232e-06,0.000259811849861347,3.92726108100483e-06,4.11689593526887e-09,0.00580115047447816,3.08980139251958e-08,6.99316495333946e-06,6.99316495333946e-06,1.17022279286783e-05,0.00258621483336263,0.0168314561868934,3.88098529979786e-07,0.00114310508680404,0.000114133598146271,0.0220341909323654,3.88098529979786e-07,8.36658642908716e-05
"IN-CCU",0.000418117940415019,NA,0.000642825988627749,5.99785744652692e-05,0.000259811849861347,0.00258621483336263,0.000152674064676672,0.000951362855555526,2.84280453484165e-05,0.000418117940415019,9.54358182703174e-07,0.00580115047447816,0.00222313540999108,0.0125930304960939,0.0139059688143628,0.00450843548429436,0.000951362855555526,0.000951362855555526,0.00114310508680404,0.00114310508680404,1.17022279286783e-05,0.00222313540999108,0.00190036772552826,0.020185498509854,0.00258621483336263,0.00190036772552826,0.00258621483336263,1.17022279286783e-05,0.000642825988627749,0.000521133700480902,0.000331668339126789,0.00136331525272704,0.000521133700480902,0.000521133700480902,0.000521133700480902,0.00450843548429436,0.000114133598146271,0.00190036772552826,0.0478559768420606,4.19104465303466e-05,0.354147641232922,0.000951362855555526,0.00735502885780503,0.00161476898606994,0.000521133700480902,0.005124081698753,0.106252371759346,0.00136331525272704,0.000951362855555526,0.000425046483706115,4.19104465303466e-05,0.000259811849861347,0.00580115047447816,9.54358182703174e-07,0.000114133598146271,0.000642825988627749,0.000521133700480902,4.19104465303466e-05,0.000642825988627749,0.00344645026182744,0.00580115047447816,4.19104465303466e-05,0.000152674064676672,0.000331668339126789,0.00136331525272704,2.84280453484165e-05,0.000951362855555526,0.00078544167785366,0.00078544167785366,0.00078544167785366
"IN-IHC",0.000331668339126789,0.000642825988627749,NA,0.00823976871233834,0.0240031912007137,0.00161476898606994,0.0220341909323654,0.0358059970520292,0.000642825988627749,0.00114310508680404,0.00395044897254282,0.0260968910527031,5.99785744652692e-05,0.0585894753885676,0.000521133700480902,0.005124081698753,0.000418117940415019,0.000418117940415019,0.0708943175492232,0.000642825988627749,0.0153173290532818,1.17022279286783e-05,0.000152674064676672,0.0153173290532818,0.000418117940415019,0.000259811849861347,0.000114133598146271,0.0153173290532818,0.000259811849861347,0.000521133700480902,0.0283196712957601,8.36658642908716e-05,0.0283196712957601,0.00114310508680404,0.000521133700480902,0.000152674064676672,0.00222313540999108,0.0125930304960939,0.15173503571673,0.000521133700480902,0.648795709784666,0.00136331525272704,0.0331699010901059,0.0331699010901059,0.000521133700480902,0.0512655897864915,0.226206044935027,0.00258621483336263,0.0415214944103186,0.000798367102855302,0.011374198642691,0.0385884529220193,0.000114133598146271,0.000152674064676672,0.011374198642691,0.00450843548429436,0.000521133700480902,0.0168314561868934,0.00078544167785366,0.000152674064676672,1.86219510986962e-05,0.00161476898606994,0.0102451939411279,0.0331699010901059,8.36658642908716e-05,0.00344645026182744,0.00654349014683797,0.0512655897864915,0.00161476898606994,0.0139059688143628
"IN-PBW",0.0168314561868934,5.99785744652692e-05,0.00823976871233834,NA,0.000642825988627749,0.0184527180284455,0.000521133700480902,0.000642825988627749,5.99785744652692e-05,1.86219510986962e-05,0.000114133598146271,0.0753623350534838,0.0415214944103186,0.0666118822668891,0.0848687711339349,0.0260968910527031,0.0153173290532818,0.0153173290532818,1.17022279286783e-05,0.0168314561868934,1.28681157507415e-07,0.0139059688143628,0.0240031912007137,0.130948069507173,0.0283196712957601,0.0358059970520292,0.0446092964633631,1.28681157507415e-07,0.011374198642691,0.0102451939411279,0.00258621483336263,0.0184527180284455,1.28681157507415e-07,0.00299286368018592,0.0102451939411279,0.0415214944103186,6.99316495333946e-06,0.00920177977763492,0.159105769412196,2.84280453484165e-05,0.541935885731317,0.0153173290532818,0.106252371759346,0.0139059688143628,0.0102451939411279,0.0385884529220193,0.429918785032884,0.0358059970520292,2.03842463242232e-06,0.0204939250284564,1.30167432388362e-10,3.92726108100483e-06,0.0478559768420606,0.000521133700480902,0.00161476898606994,0.00654349014683797,0.0102451939411279,2.03842463242232e-06,0.011374198642691,0.0220341909323654,0.0478559768420606,0.000521133700480902,2.03842463242232e-06,3.88098529979786e-07,0.0184527180284455,3.92726108100483e-06,0.00161476898606994,3.92726108100483e-06,0.00735502885780503,0.00258621483336263
"MI-BAR",0.00136331525272704,0.000259811849861347,0.0240031912007137,0.000642825988627749,NA,0.00136331525272704,4.11689593526887e-09,3.92726108100483e-06,0.00190036772552826,0.00114310508680404,2.03842463242232e-06,0.00114310508680404,0.00654349014683797,0.000418117940415019,0.0385884529220193,0.000259811849861347,0.00190036772552826,0.00190036772552826,4.19104465303466e-05,0.00222313540999108,4.19104465303466e-05,0.0139059688143628,0.00395044897254282,0.0283196712957601,0.005124081698753,0.00920177977763492,0.00735502885780503,4.19104465303466e-05,0.005124081698753,0.00222313540999108,9.54358182703174e-07,0.00920177977763492,0.000642825988627749,0.00136331525272704,0.00222313540999108,0.00920177977763492,0.00344645026182744,0.000152674064676672,0.00654349014683797,0.00161476898606994,0.080019375920275,0.00450843548429436,0.00161476898606994,2.84280453484165e-05,0.00222313540999108,0.000200713073324366,0.0358059970520292,0.00654349014683797,5.99785744652692e-05,0.00326528861987807,0.000331668339126789,3.92726108100483e-06,0.0184527180284455,0.000259811849861347,0.000114133598146271,0.000951362855555526,0.00222313540999108,3.92726108100483e-06,0.00258621483336263,0.0125930304960939,0.0283196712957601,0.000152674064676672,0.000114133598146271,4.19104465303466e-05,0.00920177977763492,0.000418117940415019,3.92726108100483e-06,1.86219510986962e-05,0.00161476898606994,1.86219510986962e-05
"MI-BCK",1.28681157507415e-07,0.00258621483336263,0.00161476898606994,0.0184527180284455,0.00136331525272704,NA,0.000521133700480902,0.000642825988627749,0.0102451939411279,0.00580115047447816,0.00078544167785366,0.00190036772552826,2.03842463242232e-06,0.00190036772552826,1.86219510986962e-05,1.28681157507415e-07,4.11689593526887e-09,4.11689593526887e-09,0.020185498509854,1.30167432388362e-10,0.0168314561868934,5.99785744652692e-05,1.28681157507415e-07,0.020185498509854,4.11689593526887e-09,2.03842463242232e-06,9.54358182703174e-07,0.0168314561868934,3.92726108100483e-06,1.28681157507415e-07,0.000951362855555526,1.17022279286783e-05,0.0220341909323654,2.03842463242232e-06,1.28681157507415e-07,1.28681157507415e-07,0.011374198642691,2.03842463242232e-06,0.011374198642691,0.00735502885780503,0.166699987624945,2.03842463242232e-06,0.000951362855555526,0.000259811849861347,1.28681157507415e-07,0.000951362855555526,0.0478559768420606,1.17022279286783e-05,0.0260968910527031,0.00375116941949516,0.0125930304960939,0.0184527180284455,2.03842463242232e-06,2.84280453484165e-05,0.00078544167785366,2.03842463242232e-06,1.28681157507415e-07,0.00654349014683797,3.08980139251958e-08,4.19104465303466e-05,2.84280453484165e-05,2.84280453484165e-05,0.00161476898606994,0.0153173290532818,1.17022279286783e-05,0.00136331525272704,1.86219510986962e-05,0.0184527180284455,3.88098529979786e-07,4.19104465303466e-05
"MI-CLT",0.000521133700480902,0.000152674064676672,0.0220341909323654,0.000521133700480902,4.11689593526887e-09,0.000521133700480902,NA,1.28681157507415e-07,0.00344645026182744,0.00222313540999108,9.54358182703174e-07,0.000642825988627749,0.00450843548429436,0.000200713073324366,0.0283196712957601,0.000152674064676672,0.000642825988627749,0.000642825988627749,5.99785744652692e-05,0.00078544167785366,4.19104465303466e-05,0.0125930304960939,0.00190036772552826,0.0220341909323654,0.00258621483336263,0.005124081698753,0.005124081698753,4.19104465303466e-05,0.00136331525272704,0.000521133700480902,3.08980139251958e-08,0.00344645026182744,0.000642825988627749,0.000200713073324366,0.000521133700480902,0.00580115047447816,0.00395044897254282,1.86219510986962e-05,0.00299286368018592,0.00299286368018592,0.0548421197754076,0.00114310508680404,0.00078544167785366,2.03842463242232e-06,0.000521133700480902,4.19104465303466e-05,0.0260968910527031,0.00190036772552826,0.000152674064676672,0.00262800759816395,0.000152674064676672,1.17022279286783e-05,0.011374198642691,8.36658642908716e-05,6.99316495333946e-06,0.000114133598146271,0.000521133700480902,3.92726108100483e-06,0.000642825988627749,0.005124081698753,0.0168314561868934,1.17022279286783e-05,1.86219510986962e-05,4.19104465303466e-05,0.00344645026182744,0.000114133598146271,3.92726108100483e-06,2.84280453484165e-05,0.000259811849861347,3.88098529979786e-07
"MI-CRM",0.00114310508680404,0.000951362855555526,0.0358059970520292,0.000642825988627749,3.92726108100483e-06,0.000642825988627749,1.28681157507415e-07,NA,0.00654349014683797,0.00222313540999108,8.36658642908716e-05,0.00222313540999108,0.00823976871233834,0.000642825988627749,0.0331699010901059,0.000200713073324366,0.00078544167785366,0.00078544167785366,2.84280453484165e-05,0.00114310508680404,0.000259811849861347,0.020185498509854,0.00222313540999108,0.0548421197754076,0.00395044897254282,0.011374198642691,0.0102451939411279,0.000259811849861347,0.00161476898606994,0.000642825988627749,3.88098529979786e-07,0.00395044897254282,0.000331668339126789,0.000114133598146271,0.000642825988627749,0.00823976871233834,0.00299286368018592,8.36658642908716e-05,0.00580115047447816,0.00580115047447816,0.0625114832796152,0.000951362855555526,0.00299286368018592,1.86219510986962e-05,0.000642825988627749,0.000259811849861347,0.0478559768420606,0.00258621483336263,0.000114133598146271,0.0163087783685545,0.000200713073324366,5.99785744652692e-05,0.0168314561868934,0.000259811849861347,6.99316495333946e-06,0.000259811849861347,0.000642825988627749,5.99785744652692e-05,0.000951362855555526,0.005124081698753,0.0220341909323654,2.84280453484165e-05,1.17022279286783e-05,4.19104465303466e-05,0.00395044897254282,8.36658642908716e-05,3.92726108100483e-06,1.86219510986962e-05,0.000259811849861347,3.92726108100483e-06
"MI-GRE",0.00654349014683797,2.84280453484165e-05,0.000642825988627749,5.99785744652692e-05,0.00190036772552826,0.0102451939411279,0.00344645026182744,0.00654349014683797,NA,2.03842463242232e-06,0.000521133700480902,0.0585894753885676,0.00920177977763492,0.0899137363026392,0.0184527180284455,0.0153173290532818,0.00823976871233834,0.00823976871233834,0.00161476898606994,0.00735502885780503,0.000200713073324366,0.00078544167785366,0.0102451939411279,0.0899137363026392,0.00823976871233834,0.00823976871233834,0.00823976871233834,0.000200713073324366,0.0125930304960939,0.00920177977763492,0.00920177977763492,0.0153173290532818,0.000331668339126789,0.00654349014683797,0.00920177977763492,0.0102451939411279,3.92726108100483e-06,0.0220341909323654,0.226206044935027,1.30167432388362e-10,0.795414501853898,0.00823976871233834,0.080019375920275,0.0283196712957601,0.00920177977763492,0.0708943175492232,0.366251460583582,0.0168314561868934,0.000521133700480902,0.0127887002178595,0.000259811849861347,0.000642825988627749,0.0125930304960939,0.000200713073324366,0.005124081698753,0.0153173290532818,0.00920177977763492,0.000642825988627749,0.00823976871233834,0.0260968910527031,0.0184527180284455,0.00344645026182744,0.00136331525272704,0.000951362855555526,0.0153173290532818,0.000642825988627749,0.00190036772552826,0.00136331525272704,0.0139059688143628,0.0153173290532818
"MI-IND",0.00735502885780503,0.000418117940415019,0.00114310508680404,1.86219510986962e-05,0.00114310508680404,0.00580115047447816,0.00222313540999108,0.00222313540999108,2.03842463242232e-06,NA,0.000642825988627749,0.0899137363026392,0.0102451939411279,0.0899137363026392,0.0220341909323654,0.00735502885780503,0.00580115047447816,0.00580115047447816,0.000418117940415019,0.00654349014683797,0.000259811849861347,0.00114310508680404,0.00654349014683797,0.182563978573167,0.00823976871233834,0.0153173290532818,0.011374198642691,0.000259811849861347,0.0102451939411279,0.00735502885780503,0.00823976871233834,0.011374198642691,4.19104465303466e-05,0.00344645026182744,0.00735502885780503,0.00920177977763492,9.54358182703174e-07,0.0125930304960939,0.27556745095678,1.28681157507415e-07,0.812182698028059,0.0125930304960939,0.118175957013032,0.0306758950616401,0.00735502885780503,0.0753623350534838,0.527302354166108,0.0331699010901059,5.99785744652692e-05,0.0299241905885927,0.000114133598146271,0.000331668339126789,0.0139059688143628,0.000331668339126789,0.00823976871233834,0.0125930304960939,0.00735502885780503,0.000259811849861347,0.00823976871233834,0.0139059688143628,0.0168314561868934,0.00161476898606994,0.000200713073324366,0.000152674064676672,0.011374198642691,0.000114133598146271,0.000259811849861347,0.000259811849861347,0.00823976871233834,0.00735502885780503
