"sample_id","Anthracene","Benzo_a_anthracene","Benzo_a_pyrene","Benzo_b_fluoranthene","Benzo_e_pyrene","Benzo_ghi_perylene","Benzo_k_fluoranthene","Chrysene","Fluoranthene","Indeno_123cd_pyrene","Phenanthrene","Pyrene"
"IN-CCD",59.57,184.67,180.47,212.71,152.44,131.39,209.96,268.99,655.09,145.36,373.35,478.61
"IN-CCU",3.65,11.89,14.65,16.89,14.48,11.51,15.36,20.02,30.03,10.75,12.87,29.05
"IN-IHC",2773.65,10175.54,9894.44,8828.46,8180.01,6503.61,8326.71,13473.1,24090.03,6518.11,8346.02,23628.58
"IN-PBW",4.04,20.79,25.49,34.78,24.36,23.71,32.93,35.46,77.06,25.44,20.35,57
"MI-BAR",30.4,221.29,216.53,334.29,249.76,227.53,299.21,359.98,622.73,244.73,247.75,469.25
"MI-BCK",33.02,151.96,120.26,167.71,117.2,107.05,173.08,201.57,511.31,130.95,236.46,369.42
"MI-CLT",1.65,14.04,18.14,28.08,21.64,20.03,26.45,29.49,60.73,20.91,23.46,43.26
"MI-CRM",29.67,296.36,356.82,563.7,411.48,420.48,498.13,556.78,1343.78,440.64,460.71,854.02
"MI-GRE",2.47,25.01,24.69,25.63,22.78,20.5,29.45,32.52,48.47,20.33,17.35,46.59
"MI-IND",13.12,140.09,129.53,170.69,128.46,117.17,169.57,188.87,370.52,132.11,113.12,276.9
"MI-LRB",7.22,41.81,45.62,60.29,45.87,41.57,57.01,64.69,136.09,43.08,45.7,102.35
"MI-LRH",2.94,6.02,5.26,11.09,9.9,9.73,6.8,25.63,49.29,4.77,43.76,42.41
"MI-LRW",537.2,2271.59,1715.35,1862.45,1312.48,1121.67,1850.36,2516.68,7421.11,1308.34,4167.49,5237.17
"MI-NBC",1.08,1.66,1.55,3.65,2.95,2.35,2.2,5.87,12.85,1.75,9.27,8.97
"MI-PEA",35.1,80.71,67.01,66.86,49,44.04,73.22,72.36,225.04,50.34,95.7,164.87
"MI-PLS",18.92,166.49,122.74,210.77,150.9,135.31,203.86,244.66,606.49,151.49,358.38,425.99
"MI-RRB",27.53,136.24,134.53,150.32,117.79,115.88,147.64,177.63,421.31,123.05,184.25,316.62
"MI-RRD",158.13,835.52,831.61,1135.59,769.25,750.62,983.71,1271.11,2988.93,804.86,1648.53,2281.16
"MI-RRR",207.59,2937.07,4129.48,5899.2,4519.3,4455,5562.61,5505.63,10939.99,4974.6,3557.63,8251.67
"MI-RRS",133.93,761.19,697.23,809.07,621.25,597.73,833.2,1045.04,2434.97,665.12,1174.6,1904.78
