"sample_id","Anthracene","Benzo(a)anthracene","Benzo(a)pyrene","Benzo(b)fluoranthene","Benzo(e)pyrene","Benzo(g,h,i)perylene","Benzo(k)fluoranthene","Chrysene","Fluoranthene","Indeno(1,2,3-cd)pyrene","Phenanthrene","Pyrene"
"IN-CCD",19.6296848534786,9.75076442626407,12.3864745144694,8.62790580558283,12.0742004959766,12.5845548608942,11.9959061557327,12.0258893712104,14.0619904498629,10.9981529424575,16.3903551166867,12.8989586898732
"IN-CCU",19.6196848534786,9.7340977595974,12.3398078478028,8.60790580558283,12.0508671626433,12.5545548608942,11.9659061557327,11.9958893712104,14.0419904498629,10.9748196091242,16.3770217833534,12.8689586898732
"IN-IHC",25.7396848534786,18.2074310929307,35.5098078478028,19.5212391389162,23.5142004959766,26.7978881942275,26.769239489066,26.6625560378771,23.9119904498629,22.7214862757908,22.5670217833534,26.7022920232066
"IN-PBW",19.6263515201452,9.7440977595974,12.3664745144694,8.61790580558283,12.0642004959766,12.5712215275608,11.979239489066,12.0125560378771,14.0519904498629,10.9881529424575,16.3836884500201,12.8856253565399
"MI-BAR",19.6163515201452,9.72743109293073,12.3264745144694,8.60123913891616,12.0442004959766,12.5478881942275,11.9559061557327,11.9858893712104,14.0353237831962,10.9681529424575,16.3736884500201,12.8622920232066
"MI-BCK",19.6196848534786,9.7340977595974,12.3431411811361,8.60790580558283,12.0508671626433,12.5578881942275,11.9659061557327,11.9958893712104,14.0419904498629,10.9781529424575,16.3770217833534,12.8722920232066
"MI-CLT",19.6230181868119,9.73743109293073,12.3531411811361,8.61123913891616,12.05753382931,12.5645548608942,11.9725728223994,12.0025560378771,14.0486571165295,10.9814862757908,16.3803551166867,12.8789586898732
"MI-CRM",19.6296848534786,9.74743109293073,12.3798078478028,8.62457247224949,12.0708671626433,12.5778881942275,11.989239489066,12.0192227045438,15.5019904498629,10.9948196091242,16.3870217833534,12.8922920232066
"MI-GRE",19.6296848534786,9.74743109293073,12.3798078478028,8.62457247224949,12.0708671626433,12.5812215275608,11.989239489066,12.0225560378771,14.0586571165295,10.9948196091242,16.3870217833534,12.8956253565399
"MI-IND",19.6163515201452,9.73076442626406,12.3331411811361,8.60457247224949,12.04753382931,12.5512215275608,11.959239489066,11.9925560378771,14.0386571165295,10.9714862757908,16.3736884500201,12.8656253565399
